Date,Close,High,Low,Open,Volume
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
2020-06-04,70.3785171508789,71.72309429138843,69.96599205492319,71.4971694316438,26982000
2020-06-05,71.65840148925781,71.9709103787135,70.0461071028752,70.44520002096422,42642000
2020-06-08,72.05748748779297,72.10525562528537,70.88509140875318,70.974667107052,33878000
2020-06-09,72.25852966308594,73.04079279119881,71.77484210279437,71.91816171630913,33624000
2020-06-10,72.88652801513672,73.28810385800969,72.37198974644225,72.72778683921254,31762000
2020-06-11,69.761474609375,72.23465106938366,69.58780540266814,71.70866238072514,47144000
2020-06-12,70.30985260009766,71.38421437179544,68.96030198853704,70.95376958003494,36676000
2020-06-15,70.69898986816406,70.91097380700297,69.02996753030666,69.14392465309821,30468000
2020-06-16,71.9793701171875,72.51182051857924,71.10952825884952,72.10526358516627,30648000
2020-06-17,72.28142547607422,72.76212896872691,71.415068821233,72.30133456430534,30610000
2020-06-18,71.36481475830078,72.30282748663723,70.9726846629474,72.14757151661824,34862000
2020-06-19,70.89306640625,71.88133775111594,70.61240293282405,71.65740986390969,52784000
2020-06-22,72.18787384033203,72.2023083095252,70.62186681199631,70.91148255316699,29442000
2020-06-23,72.85070037841797,73.40903563217812,71.90621842213413,72.25455152562985,37752000
2020-06-24,71.29415130615234,73.43839511149096,71.15979153173976,72.81587541071586,31592000
2020-06-25,71.71214294433594,71.77284971319233,70.63926944685834,71.22049025097112,23958000
2020-06-26,67.8028335571289,71.5091128593862,67.42762851107032,71.29065960372779,97640000
2020-06-29,69.5261001586914,69.56740658298106,67.2609287443365,67.69336296671155,45074000
2020-06-30,70.56513214111328,70.86121720110151,69.0165360541645,69.51167404146442,40286000
2020-07-01,71.75694274902344,72.07940624191117,70.37256235703924,70.62087929232952,42182000
2020-07-02,73.14678192138672,74.07186348298605,72.20826818037254,72.24659051474603,57218000
2020-07-06,74.62571716308594,75.14075662187608,73.49761142237459,74.05345615982517,44712000
2020-07-07,74.14153289794922,75.70406216918913,74.13058365914364,74.45055656016098,42364000
2020-07-08,74.82227325439453,75.19897413072191,74.25995924949038,74.68294002022051,31766000
2020-07-09,75.57169342041016,76.09320218311657,74.42368620829713,75.13726983285122,41836000
2020-07-10,76.58435821533203,76.70030474090636,74.67897031172721,75.30248471212418,35918000
2020-07-13,75.2517318725586,78.44297203416643,74.96958014308842,77.12825841563946,42954000
2020-07-14,75.68116760253906,75.77770617369718,73.94297977071558,74.28434999897787,38108000
2020-07-15,75.48312377929688,76.45099251906724,74.53515653534063,75.79911032958475,31026000
2020-07-16,75.3855972290039,75.43486121845835,74.05943310844663,74.71778467158745,26484000
2020-07-17,75.48162841796875,75.80906535403365,74.5485891882386,75.48461250339587,34264000
2020-07-20,77.8199462890625,78.07721543774436,74.77749296936797,75.38956453557115,30166000
